uid,mass_avg_log1p,mass_var_log1p,light_element_fraction,heavy_element_fraction,en_atom_mean,en_atom_std,en_diff_mean_filled,en_diff_max_filled,en_diff_var_filled,en_diff_missing_flag,is_ionic_like_clean,gap_pbe_log1p,gap_pbe_near_zero_flag,alpha_el_mean_log1p,alpha_el_inplane_mean_log1p,alpha_el_out_of_plane_log1p,alpha_el_anisotropy_log1p,alpha_el_anisotropy_ratio,alpha_el_ratio_z_xy,alpha_el_xy_anisotropy_ratio,has_inversion_symmetry,is_janus_like_clean,is_janus_like_missing_flag,pointgroup__neg1,pointgroup__neg3,pointgroup__neg3m,pointgroup__neg4,pointgroup__neg42m,pointgroup__neg6m2,pointgroup__n_1,pointgroup__n_2,pointgroup__n_2_over_m,pointgroup__n_222,pointgroup__n_3,pointgroup__n_32,pointgroup__n_3m,pointgroup__n_4_over_mmm,pointgroup__n_422,pointgroup__n_6mm,pointgroup__m,pointgroup__mm2,pointgroup__mmm,layergroup__c2_over_m11,layergroup__c211,layergroup__c222,layergroup__cm11,layergroup__cm2e,layergroup__cm2m,layergroup__cmm2,layergroup__cmme,layergroup__cmmm,layergroup__pneg1,layergroup__pneg3,layergroup__pneg31m,layergroup__pneg3m1,layergroup__pneg4,layergroup__pneg42_1m,layergroup__pneg42m,layergroup__pneg4m2,layergroup__pneg62m,layergroup__pneg6m2,layergroup__p1,layergroup__p112,layergroup__p112_over_a,layergroup__p112_over_m,layergroup__p11a,layergroup__p11m,layergroup__p2_over_b11,layergroup__p2_over_m11,layergroup__p211,layergroup__p2_1_over_b11,layergroup__p2_1_over_m11,layergroup__p2_111,layergroup__p2_122,layergroup__p2_12_12,layergroup__p3,layergroup__p312,layergroup__p31m,layergroup__p3m1,layergroup__p4_over_mbm,layergroup__p4_over_mmm,layergroup__p4_over_nbm,layergroup__p4_over_nmm,layergroup__p42_12,layergroup__p6mm,layergroup__pb11,layergroup__pb2_1a,layergroup__pb2_1m,layergroup__pb2n,layergroup__pbma,layergroup__pm11,layergroup__pm2_1b,layergroup__pm2_1n,layergroup__pm2a,layergroup__pm2m,layergroup__pmam,layergroup__pman,layergroup__pmm2,layergroup__pmma,layergroup__pmmm,layergroup__pmmn
2BrIrS-2,4.628834628,8.413415565,0.333333333,0.333333333,2.58,0.310268701,0.506666667,0.76,0.032088889,0,0,0.720843344,0,1.381536318,1.666285045,0.306086089,1.605642618,1.335472014,0.08342498,0.163533069,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BrIrSe-1,4.77095295,7.947249995,0,0.333333333,2.57,0.310590835,0.506666667,0.76,0.032688889,0,0,0.050632964,0,3.300215343,3.686841833,0.417576734,4.23530326,2.606684254,0.013316979,1.668020373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2BrIrSe-2,4.77095295,7.947249995,0,0.333333333,2.57,0.310590835,0.506666667,0.76,0.032688889,0,0,0.73139463,0,1.386920314,1.671594924,0.312047552,1.604739031,1.324414524,0.084760373,0.11197146,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BrIrTe-2,4.899639175,7.658884989,0,0.666666667,2.42,0.384013889,0.573333333,0.86,0.113688889,0,0,0.696569431,0,1.418392315,1.705282216,0.326094907,1.634654606,1.318549784,0.08562117,0.074710941,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BrISn-1,4.695967166,6.043056537,0,0.666666667,2.526666667,0.418993503,0.666666667,1,0.082222222,0,0,1.084466891,0,0.955804173,1.166695757,0.321761481,1.071665262,1.199578301,0.171638722,0.300776162,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2BrIZr-1,4.608590995,5.996602269,0,0.666666667,2.316666667,0.708347059,1.086666667,1.63,0.324422222,0,0,0.39462408,0,1.816124075,2.140819316,0.358471926,2.176250835,1.517721007,0.057436402,0.509885362,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2BrNSn-1,4.274909948,7.533101642,0.333333333,0.333333333,2.653333333,0.491347354,0.72,1.08,0.205866667,0,0,0.861169406,0,1.264566745,1.511976154,0.440384082,1.382571214,1.174529593,0.156491224,0.041864541,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2BrNTi-1,3.876589246,6.586061852,0.333333333,0,2.513333333,0.689025076,1,1.5,0.424266667,0,0,0.483027371,0,1.623391293,1.924898995,0.406701121,1.867967314,1.345154021,0.085721908,0.227172023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2BrNZr-1,4.138547502,7.056368953,0.333333333,0.333333333,2.443333333,0.787922726,1.14,1.71,0.562866667,0,1,0.962421774,0,1.363025605,1.622773509,0.463576374,1.49903698,1.195796348,0.145004009,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BrNZr-2,4.138547502,7.056368953,0.333333333,0.333333333,2.443333333,0.787922726,1.14,1.71,0.562866667,0,1,1.035396216,0,1.246362652,1.495341331,0.412965862,1.38265898,1.20495641,0.147735993,0.154050141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
